,TOTAL VALUE ,TAX,LOT SQFT ,YR BUILT,GROSS AREA ,LIVING AREA,FLOORS ,ROOMS,BEDROOMS ,FULL BATH,HALF BATH,KITCHEN,FIREPLACE,REMODEL
0,344.2,4330,9965,1880,2436,1352,2.0,6,3,1,1,1,0,None
1,412.6,5190,6590,1945,3108,1976,2.0,10,4,2,1,1,0,Recent
2,330.1,4152,7500,1890,2294,1371,2.0,8,4,1,1,1,0,None
3,498.6,6272,13773,1957,5032,2608,1.0,9,5,1,1,1,1,None
4,331.5,4170,5000,1910,2370,1438,2.0,7,3,2,0,1,0,None
5,337.4,4244,5142,1950,2124,1060,1.0,6,3,1,0,1,1,Old
6,359.4,4521,5000,1954,3220,1916,2.0,7,3,1,1,1,0,None
7,320.4,4030,10000,1950,2208,1200,1.0,6,3,1,0,1,0,None
8,333.5,4195,6835,1958,2582,1092,1.0,5,3,1,0,1,1,Recent
9,409.4,5150,5093,1900,4818,2992,2.0,8,4,2,0,1,0,None
10,313.0,3937,5000,1960,2624,1485,1.5,6,3,2,0,1,1,None
11,344.5,4333,6768,1958,2844,1460,1.5,6,3,2,0,1,1,None
12,315.5,3968,5000,1889,2196,1290,2.0,6,3,1,0,1,0,None
13,575.0,7233,12288,2004,4616,2378,2.0,9,4,2,1,1,1,None
14,326.2,4103,5000,1954,2536,1272,1.5,6,3,1,1,1,1,None
15,298.2,3751,5000,1940,2129,864,1.0,7,3,2,0,1,0,None
16,313.1,3938,6949,1880,2612,1438,1.5,7,3,1,1,1,0,Old
17,344.9,4338,10000,1950,2099,1445,1.0,7,3,1,1,1,1,None
18,330.7,4160,5000,1910,2408,1470,2.0,7,3,1,0,1,0,None
19,348.0,4377,9001,1875,2840,1632,2.0,7,3,1,0,1,0,None
20,317.5,3994,4450,1920,1400,1232,2.0,7,3,1,0,1,0,None
21,330.8,4161,5000,1889,2560,1302,1.5,6,2,1,0,1,0,Recent
22,357.8,4501,12255,1944,2631,1275,1.5,6,3,1,1,1,1,None
23,414.7,5216,12972,1892,3796,2054,1.5,6,3,3,0,1,0,None
24,318.8,4010,4717,1900,2512,1371,2.0,7,3,1,1,1,0,None
25,346.2,4355,5000,1910,2655,1541,2.0,7,3,1,0,1,0,None
26,245.1,3083,4142,1880,1892,927,1.5,5,2,1,0,1,0,None
27,317.4,3992,5000,1910,2596,1244,1.5,7,3,1,0,1,0,None
28,247.3,3111,4012,1896,1994,1048,1.5,6,3,1,0,1,0,None
29,320.8,4035,13275,1910,1516,808,1.5,6,2,1,1,1,0,None
30,328.8,4136,4717,1906,2824,1469,1.5,6,3,2,0,1,0,None
31,293.6,3693,4289,1910,2286,1436,2.0,7,3,1,0,1,0,None
32,280.1,3523,10688,1890,3014,1625,2.0,7,4,1,0,1,0,None
33,342.5,4308,4717,1925,2802,1620,2.0,7,3,1,1,1,0,None
34,337.2,4241,5000,1920,3112,1906,2.0,9,4,2,0,1,0,None
35,336.5,4233,6842,1910,2269,1393,2.0,6,3,2,0,1,0,None
36,315.6,3970,6675,1945,2392,1394,1.5,6,2,2,0,1,0,None
37,296.5,3729,5683,1960,2982,1452,1.0,6,3,1,1,1,1,None
38,239.7,3015,5450,1963,2112,960,1.0,5,3,1,0,1,1,None
39,318.4,4005,4717,1915,3222,1803,1.0,7,3,1,1,1,0,None
40,431.5,5428,6733,1990,2880,1792,2.0,7,3,2,1,1,1,Old
41,349.8,4400,7242,1910,2496,1460,2.0,7,3,1,1,1,0,None
42,344.0,4327,5683,1940,3136,1870,2.0,9,4,2,0,1,1,None
43,358.3,4507,6138,1910,2500,1690,2.0,7,3,1,1,1,0,None
44,346.2,4355,11250,1900,2830,1391,1.5,6,3,1,0,1,0,Old
45,490.7,6173,5683,1995,4100,2640,2.0,6,3,1,1,1,1,Recent
46,371.9,4678,7001,1996,2320,1500,2.0,7,3,2,1,1,1,None
47,325.3,4092,4717,1910,2592,1572,2.0,7,3,1,1,1,0,None
48,340.5,4283,8489,1950,2368,1326,1.5,6,3,1,1,1,1,None
49,432.5,5440,7139,1996,2340,1500,2.0,7,3,2,1,1,0,None
50,334.7,4210,4584,1907,3288,1694,2.0,7,3,1,1,1,0,None
51,314.3,3953,7193,1900,2740,1508,2.0,7,3,1,0,1,0,None
52,405.5,5101,3867,1996,2431,1560,2.0,7,3,2,1,1,1,None
53,326.0,4101,4262,1960,2090,1300,2.0,7,3,1,1,1,1,None
54,285.6,3592,5325,1945,3060,1364,1.0,5,2,1,0,1,1,None
55,345.9,4351,8005,1900,2490,1562,2.0,7,3,1,1,1,1,None
56,317.3,3991,7234,1910,2289,1440,2.0,7,3,1,0,1,0,None
57,277.8,3494,5959,1940,2036,1018,1.0,5,3,1,1,1,1,None
58,306.8,3859,7785,1860,2038,1056,1.5,6,3,1,0,1,0,None
59,265.7,3342,3887,1950,2364,1075,1.0,6,3,2,0,1,1,Old
60,356.8,4488,5906,1967,2368,2051,1.0,8,4,1,1,1,2,None
61,299.9,3772,5401,1991,1800,1800,2.0,6,3,1,1,1,1,None
62,287.8,3620,3204,1991,1800,1800,2.0,6,3,1,1,1,1,None
63,296.0,3723,2947,1991,1800,1800,2.0,6,3,1,1,1,1,None
64,300.6,3781,4241,1991,1800,1800,2.0,6,3,1,1,1,1,None
65,566.3,7124,8249,2007,4390,2708,2.0,8,4,2,1,1,1,None
66,286.0,3597,7655,1910,3013,1318,1.5,7,3,1,0,1,0,None
67,351.2,4418,10000,1875,2232,1392,2.0,7,3,1,1,1,0,None
68,365.1,4592,5058,1910,3362,1763,2.0,8,4,2,0,1,0,Recent
69,330.0,4151,6330,1940,2644,1386,1.5,6,3,1,0,1,0,None
70,354.1,4454,4984,1940,2441,1464,2.0,7,3,1,1,1,1,Recent
71,335.8,4224,6111,1964,2262,1740,1.0,7,3,1,1,1,1,None
72,345.0,4340,20000,1900,1754,845,1.5,6,3,1,0,1,0,None
73,356.4,4483,5967,1942,3442,1836,2.0,8,3,2,0,1,0,Old
74,379.0,4767,7940,1900,3894,2436,2.0,8,4,2,0,1,1,None
75,352.1,4429,6003,1987,2178,1350,2.0,7,3,2,0,1,0,None
76,437.3,5501,7000,1997,2628,1680,2.0,6,3,2,1,1,0,None
77,404.2,5084,5488,1940,3780,1992,1.5,8,4,2,1,1,1,Recent
78,283.4,3565,4774,1940,3128,1470,1.0,5,2,1,0,1,1,None
79,326.4,4106,6029,1940,2620,1265,1.5,6,3,1,1,1,0,None
80,309.2,3889,5057,1948,2244,1224,1.5,7,3,2,0,1,0,None
81,332.9,4187,5682,1940,2484,1488,2.0,7,3,1,1,1,0,None
82,260.4,3275,3819,1930,2468,1299,1.5,6,3,1,0,1,0,None
83,339.3,4268,5651,1940,2454,1306,1.5,6,3,2,1,1,1,Recent
84,307.9,3873,5005,1928,2078,1369,2.0,6,3,1,0,1,0,Old
85,346.3,4356,8145,1940,2664,1546,1.5,6,3,1,0,1,1,Recent
86,479.1,6027,9642,1999,2952,1872,2.0,7,4,2,1,1,1,None
87,335.6,4221,6475,1946,2684,1265,1.5,6,3,1,1,1,0,None
88,261.5,3289,4175,1940,1536,768,1.0,4,2,1,0,1,0,None
89,355.1,4467,5400,1940,2650,1224,1.5,7,3,2,0,1,1,Recent
90,356.8,4488,5005,1996,2660,1680,2.0,6,3,2,1,1,1,None
91,287.3,3614,3288,1955,2764,1503,1.5,7,3,2,1,1,1,None
92,331.9,4175,5400,1940,2536,1224,1.5,6,3,1,0,1,1,None
93,387.1,4869,8238,1968,3972,1922,1.0,9,4,2,0,1,1,None
94,307.6,3869,5092,1945,2539,1306,1.5,6,3,2,0,1,0,Old
95,360.9,4540,5400,1950,2508,1440,2.0,6,3,3,0,1,0,Recent
96,466.1,5863,8970,1999,2952,1872,2.0,7,4,2,1,1,1,None
